uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1748976887","03 Jun 2025, 18:54","The Police","9e0e2b01-41db-4008-bd8b-988977d6019a","Zenyatta Mondatta (Remastered 2003)","","Driven To Tears","5ea0dae0-95f7-3b4f-bb78-3cd32078ed20"
"1748976557","03 Jun 2025, 18:49","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","Aja","02d88d3e-8805-3e99-8fe7-e8708f74427d","Home At Last","03469911-acc4-3e87-9018-d1ae4cbeb7d3"
"1748976354","03 Jun 2025, 18:45","The Doobie Brothers","588dea29-eea3-456b-a815-3ee04f75c8e7","Minute by Minute","03a22fe6-f7bb-497e-9b37-3b1169ab12b9","Minute By Minute","37ab15b9-7430-434b-ace4-462b2aa1fe85"
"1748976176","03 Jun 2025, 18:42","Todd Rundgren","1a9a8ca0-ea8e-4e9e-96aa-288155bb2c5d","Something / Anything?","","I Saw The Light",""
"1748976006","03 Jun 2025, 18:40","10cc","f37c537b-3557-4031-bfd6-ab63ced32854","Deceptive Bends","13ba85d9-0f7f-415c-b8d7-5f29b8b139e2","Good Morning Judge",""
"1748974425","03 Jun 2025, 18:13","Ambrosia","","Life Beyond L.A.","7a49f63f-aff9-4c02-ac95-27e11b012aa8","How Much I Feel","c683ab58-6f2e-4ba6-b18b-46bbe0f917d6"
"1748974254","03 Jun 2025, 18:10","10cc","f37c537b-3557-4031-bfd6-ab63ced32854","Deceptive Bends","13ba85d9-0f7f-415c-b8d7-5f29b8b139e2","Good Morning Judge",""
"1748973986","03 Jun 2025, 18:06","10cc","f37c537b-3557-4031-bfd6-ab63ced32854","The Original Soundtrack","03b96f2a-21e7-4193-94a4-6097f1ba4108","Blackmail","0c720e7a-69b5-468c-998a-2000b905e47d"
"1748973733","03 Jun 2025, 18:02","Little River Band","","Sleeper Catcher (Remastered 2022)","","Reminiscing - Remastered 2010",""
"1748973467","03 Jun 2025, 17:57","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","Pretzel Logic","1511b327-52e5-4adc-8d92-6e824ccc3c97","Pretzel Logic","fe16ff43-e2dd-4946-b253-d69531775eea"
"1748973075","03 Jun 2025, 17:51","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","The Royal Scam","11bec5af-5fa0-48df-bd76-81f6ffe39e63"
"1748972761","03 Jun 2025, 17:46","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","The Royal Scam","11bec5af-5fa0-48df-bd76-81f6ffe39e63"
"1748972526","03 Jun 2025, 17:42","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","Everything You Did","06088e9a-1789-4d30-b41d-d6aef78156b7"
"1748972174","03 Jun 2025, 17:36","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","Haitian Divorce","2383a7bf-2c60-49d9-b6c5-85272ebf827a"
"1748971886","03 Jun 2025, 17:31","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","Green Earrings","0c431b1f-9525-48b5-8029-0a31ec91837d"
"1748971645","03 Jun 2025, 17:27","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","The Fez","02839ddf-666e-3a99-9b49-6ae33308844f"
"1748971371","03 Jun 2025, 17:22","Steely Dan","e01c3376-15fa-40d7-b747-5f219bdefdd7","The Royal Scam","199a3a18-6eec-4872-86a3-5b4c28c0261e","Kid Charlemagne",""
